time,flow,temp
2015-04-29,2.041,NA
2015-04-30,1.784,NA
2015-05-01,2.606,NA
2015-05-02,6.708,NA
2015-05-03,10.095,NA
2015-05-04,5.975,NA
2015-05-05,3.383,NA
2015-05-06,3.064,NA
2015-05-07,2.406,NA
2015-05-08,1.617,NA
2015-05-09,1.427,NA
2015-05-10,1.214,NA
2015-05-11,0.974,NA
2015-05-12,0.761,NA
2015-05-13,0.609,NA
2015-05-14,0.699,NA
2015-05-15,2.669,NA
2015-05-16,2.490,NA
2015-05-17,1.570,NA
2015-05-18,1.141,NA
2015-05-19,0.989,NA
2015-05-20,8.779,NA
2015-05-21,4.409,NA
2015-05-22,2.886,NA
2015-05-23,1.796,NA
2015-05-24,1.896,NA
2015-05-25,1.506,NA
2015-05-26,5.916,NA
2015-05-27,4.014,NA
2015-05-28,2.190,NA
2015-05-29,1.647,NA
2015-05-30,2.780,NA
2015-05-31,4.818,NA
2015-06-01,5.461,NA
2015-06-02,4.498,NA
2015-06-03,2.808,NA
2015-06-04,4.197,NA
2015-06-05,3.115,NA
2015-06-06,2.054,NA
2015-06-07,1.866,NA
2015-06-08,1.903,NA
2015-06-09,2.177,NA
2015-06-10,1.561,NA
2015-06-11,1.256,NA
2015-06-12,1.650,NA
2015-06-13,4.250,NA
2015-06-14,2.980,NA
2015-06-15,4.111,NA
2015-06-16,4.050,NA
2015-06-17,2.556,NA
2015-06-18,7.869,NA
2015-06-19,6.439,NA
2015-06-20,6.875,NA
2015-06-21,4.804,NA
2015-06-22,3.883,NA
2015-06-23,4.767,NA
2015-06-24,4.805,NA
2015-06-25,3.347,NA
2015-06-26,2.214,NA
2015-06-27,1.923,NA
2015-06-28,2.847,NA
2015-06-29,1.771,NA
2015-06-30,1.541,NA
2015-07-01,1.793,NA
2015-07-02,1.166,NA
2015-07-03,0.960,NA
2015-07-04,0.950,NA
2015-07-05,0.817,NA
2015-07-06,0.950,NA
2015-07-07,1.938,NA
2015-07-08,2.197,NA
2015-07-09,1.228,NA
2015-07-10,0.880,NA
2015-07-11,0.767,NA
2015-07-12,0.704,NA
2015-07-13,0.900,NA
2015-07-14,7.770,NA
2015-07-15,5.327,NA
2015-07-16,2.923,NA
2015-07-17,3.171,NA
2015-07-18,3.615,NA
2015-07-19,4.080,NA
2015-07-20,2.965,NA
2015-07-21,3.244,NA
2015-07-22,4.915,NA
2015-07-23,2.923,NA
2015-07-24,1.974,NA
2015-07-25,1.407,NA
2015-07-26,1.294,NA
2015-07-27,1.201,NA
2015-07-28,0.830,NA
2015-07-29,0.551,NA
2015-07-30,0.611,NA
2015-07-31,0.459,NA
2015-08-01,0.531,NA
2015-08-02,0.439,NA
2015-08-03,0.439,NA
2015-08-04,0.614,NA
2015-08-05,0.594,NA
2015-08-06,0.594,NA
2015-08-07,0.511,NA
2015-08-08,0.501,NA
2015-08-09,0.409,NA
2015-08-10,0.409,NA
2015-08-11,0.409,NA
2015-08-12,0.399,NA
2015-08-13,0.389,NA
2015-08-14,0.949,NA
2015-08-15,1.239,NA
2015-08-16,2.249,NA
2015-08-17,1.099,NA
2015-08-18,0.709,NA
2015-08-19,0.649,NA
2015-08-20,0.599,NA
2015-08-21,0.516,NA
2015-08-22,0.446,NA
2015-08-23,0.396,NA
2015-08-24,0.489,NA
2015-08-25,0.719,NA
2015-08-26,0.576,NA
2015-08-27,0.549,NA
2015-08-28,0.509,NA
2015-08-29,0.386,NA
2015-08-30,0.386,NA
2015-08-31,0.479,NA
2015-09-01,0.489,NA
2015-09-02,0.519,NA
2015-09-03,0.669,NA
2015-09-04,1.316,NA
2015-09-05,0.896,NA
2015-09-06,0.736,NA
2015-09-07,0.646,NA
2015-09-08,0.596,NA
2015-09-09,0.546,NA
2015-09-10,0.476,NA
2015-09-11,0.466,NA
2015-09-12,0.559,NA
2015-09-13,0.651,NA
2015-09-14,0.744,NA
2015-09-15,0.466,NA
2015-09-16,0.466,NA
2015-09-17,0.466,NA
2015-09-18,0.436,NA
2015-09-19,0.436,NA
2015-09-20,0.466,NA
2015-09-21,0.496,NA
2015-09-22,0.456,NA
2015-09-23,0.719,NA
2015-09-24,0.606,NA
2015-09-25,0.516,NA
2015-09-26,0.466,NA
2015-09-27,0.466,NA
2015-09-28,0.436,NA
2015-09-29,0.436,NA
2015-09-30,0.611,NA
2015-10-01,0.581,NA
2015-10-02,0.684,NA
2015-10-03,0.591,NA
2015-10-04,0.551,NA
2015-10-05,0.717,NA
2015-10-06,0.499,NA
2015-10-07,0.513,NA
2015-10-08,0.813,NA
2015-10-09,0.533,NA
2015-10-10,0.493,NA
2015-10-11,0.423,NA
2015-10-12,0.363,NA
2015-10-13,0.476,NA
2015-10-14,2.849,NA
2015-10-15,3.459,NA
2015-10-16,1.939,NA
2015-10-17,1.366,NA
2015-10-18,2.529,NA
2015-10-19,2.549,NA
2015-10-20,1.779,NA
2015-10-21,0.979,NA
2015-10-22,1.021,NA
2015-10-23,0.929,NA
2015-10-24,0.849,NA
2015-10-25,0.759,NA
2015-10-26,0.689,NA
2015-10-27,0.659,NA
2015-10-28,0.639,NA
2015-10-29,0.599,NA
2015-10-30,0.689,NA
2015-10-31,0.749,NA
2015-11-01,0.679,NA
2015-11-02,0.719,NA
2015-11-03,0.829,NA
2015-11-04,0.749,NA
2015-11-05,0.831,NA
2015-11-06,0.699,NA
2015-11-07,0.699,NA
2015-11-08,0.679,NA
2015-11-09,0.639,NA
2015-11-10,0.619,NA
2015-11-11,0.509,NA
2015-11-12,0.870,NA
2015-11-13,1.427,NA
2015-11-14,0.777,NA
2015-11-15,0.601,NA
2015-11-16,1.046,NA
2015-11-17,1.118,NA
2015-11-18,0.757,NA
2015-11-19,0.714,NA
2015-11-20,1.491,NA
2015-11-21,9.591,NA
2015-11-22,2.821,NA
2015-11-23,1.861,NA
2015-11-24,1.349,NA
2015-11-25,1.076,NA
2015-11-26,1.046,NA
2015-11-27,1.086,NA
2015-11-28,1.016,NA
2015-11-29,0.936,NA
2015-11-30,0.916,NA
2015-12-01,0.996,NA
2015-12-02,1.116,NA
2015-12-03,0.936,NA
2015-12-04,0.846,NA
2015-12-05,0.886,NA
2015-12-06,0.826,NA
2015-12-07,0.716,NA
2015-12-08,0.716,NA
2015-12-09,0.806,NA
2015-12-10,1.276,NA
2015-12-11,1.006,NA
2015-12-12,0.866,NA
2015-12-13,0.776,NA
2015-12-14,0.706,NA
2015-12-15,0.646,NA
2015-12-16,0.666,NA
2015-12-17,2.696,NA
2015-12-18,1.936,NA
2015-12-19,2.593,NA
2015-12-20,5.735,NA
2015-12-21,2.641,NA
2015-12-22,1.636,NA
2015-12-23,1.443,NA
2015-12-24,1.250,NA
2015-12-25,1.243,NA
2015-12-26,1.173,NA
2015-12-27,1.030,NA
2015-12-28,1.010,NA
2015-12-29,1.361,NA
2015-12-30,1.331,NA
2015-12-31,1.238,NA
2016-01-01,1.150,NA
2016-01-02,0.817,NA
2016-01-03,1.343,NA
2016-01-04,1.160,NA
2016-01-05,2.090,NA
2016-01-06,2.157,NA
2016-01-07,3.143,NA
2016-01-08,3.921,NA
2016-01-09,3.743,NA
2016-01-10,3.750,NA
2016-01-11,3.557,NA
2016-01-12,3.957,NA
2016-01-13,3.737,NA
2016-01-14,2.590,NA
2016-01-15,3.317,NA
2016-01-16,2.520,NA
2016-01-17,2.071,NA
2016-01-18,1.788,NA
2016-01-19,1.626,NA
2016-01-20,1.483,NA
2016-01-21,1.393,NA
2016-01-22,1.230,NA
2016-01-23,1.114,NA
2016-01-24,1.404,NA
2016-01-25,1.424,NA
2016-01-26,1.674,NA
